date,city,store,product,sales_revenue_aud,orders,customers,sales_channel,notes
2024-01-22,Sydney,Sydney CBD,Premium Storm Jacket,2643.84,15,13,In-store,
2024-01-22,Melbourne,Melbourne Central,Premium Storm Jacket,1445.8,17,14,walk in,
2024-01-22,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,5988.92,32,24,In-store,
2024-01-22,Perth,Perth Murray St,Lightweight Poncho,2701.37,18,15,In-store,
2024-01-23,Sydney,Sydney CBD,Classic Rain Jacket,2786.63,14,11,phone,
2024-01-23,Melbourne,Melbourne Central,Lightweight Poncho,2733.79,21,19,phone,
2024-01-23,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2732.38,24,21,Online,
2024-01-23,Perth,Perth Murray St,Premium Storm Jacket,7823.83,40,31,Online,
2024-01-24,Sydney,Sydney CBD,Urban Waterproof Jacket,1521.2,16,14,phone,
2024-01-24,Melbourne,Melbourne Central,Urban Waterproof Jacket,4475.04,37,33,walk in,
2024-01-24,Brisbane,Brisbane Queen St,Premium Storm Jacket,2958.32,27,23,In-store,City typo/inconsistent format;
2024-01-24,Perth,Perth Murry St,Lightweight Poncho,2640.64,18,17,In-store,
2024-01-25,Melbourne,Melbourne Central,Premium Storm Jacket,2778.44,31,24,phone,
2024-01-25,Brisbane,Brisbane Queen St,Premium Storm Jacket,3176.22,33,28,In-store,
2024-01-25,Perth,Perth Murray St,Classic Rain Jacket,2950.97,23,18,In-store,
2024-01-26,Sydney,Sydney CBD,Lightweight Poncho,1441.75,13,13,Online,
2024-01-26,Melbourne,Melbourne Central,Premium Storm Jacket,4556.23,35,27,Online,
2024-01-26,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2215.8,18,18,In-store,
2024-01-26,Perth,Perth Murray St,Classic Rain Jacket,2948.73,23,21,Online,
2024-01-27,Sydney,Sydney CBD,Premium Storm Jacket,1297.81,17,14,Online,
2024-01-27,Melbourne,Melbourne Central,Lightweight Poncho,3896.66,29,29,phone,
2024-01-27,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,1789.69,0,14,Online,Invalid orders value;
2024-01-27,Perth,Perth Murray St,Lightweight Poncho,685.33,4,3,Online,
2024-01-28,Sydney,Sydney CBD,Lightweight Poncho,2327.97,24,19,In-store,
2024-01-28,Melbourne,Melbourne Central,Lightweight Poncho,2002.66,12,11,Online,
2024-01-28,Perth,Perth Murray St,Premium Storm Jacket,1517.54,19,16,Online,
2024-01-29,Sydney,Sydney-CBD,Lightweight Poncho,1490.25,18,14,Online,
2024-01-29,Melbourne,Melbourne Central,Lightweight Poncho,4076.01,23,20,walk in,
2024-01-29,Brisbane,Brisbane Queen St,Lightweight Poncho,2555.01,26,21,In-store,
2024-01-29,Perth,Perth Murray St,Urban Waterproof Jacket,2006.05,12,10,Online,
2024-01-30,Sydney,Sydney CBD,Lightweight Poncho,2597.03,20,15,Online,
2024-01-30,Melbourne,Melbourne Central,Classic Rain Jacket,4461.37,25,24,Online,City typo/inconsistent format;
2024-01-30,Brisbane,Brisbane Queen St,Classic Rain Jacket,5424.18,33,32,Online,
2024-01-30,Perth,Perth Murray St,Lightweight Poncho,1831.88,19,16,In-store,
2024-01-31,Sydney,Sydney CBD,Lightweight Poncho,1193.73,7,6,Online,
2024-01-31,Melbourne,Melbourne Central,Premium Storm Jacket,4799.97,38,39,walk in,
2024-01-31,Brisbane,Brisbane Queen St,Classic Rain Jacket,4463.41,33,27,Online,
2024-01-31,Perth,Perth Murray St,Urban Waterproof Jacket,1590.09,17,13,walk in,
2024-02-01,Sydney,Sydney CBD,Urban Waterproof Jacket,3153.24,28,26,walk in,
2024-02-01,Brisbane,Brisbane Queen St,Lightweight Poncho,3173.37,29,26,Online,
2024-02-01,Perth,Perth Murray St,Urban Waterproof Jacket,4160.63,21,16,In-store,
2024-02-02,Sydney,Sydney CBD,Lightweight Poncho,2804.71,23,23,In-store,
2024-02-02,Melbourne,Melbourne Central,Urban Waterproof Jacket,4228.04,37,37,Online,
2024-02-02,Brisbane,Brisbane Queen St,Premium Storm Jacket,1519.54,8,7,In-store,
2024-02-02,Perth,Perth Murray St,Classic Rain Jacket,1830.01,14,13,walk in,
2024-02-03,Sydney,Sydney CBD,Premium Storm Jacket,3835.36,27,20,phone,
2024-02-03,Melbourne,Melbourne Central,Urban Waterproof Jacket,3442.59,24,20,In-store,
2024-02-03,Brisbane,Brisbane Queen St,Premium Storm Jacket,4211.97,28,27,Online,
2024-02-03,Perth,Perth Murray St,Urban Waterproof Jacket,1641.52,20,20,Online,
2024-02-04,Sydney,Sydney CBD,Urban Waterproof Jacket,4237.94,23,21,In-store,
2024-02-04,Melbourne,Melbourne Central,Premium Storm Jacket,4166.02,41,37,Online,
2024-02-04,Brisbane,Brisbane Queen St,Classic Rain Jacket,1359.99,15,14,Online,
2024-02-04,Perth,Perth Murray St,Lightweight Poncho,3782.29,33,26,phone,
2024-02-05,Sydney,Sydney CBD,Premium Storm Jacket,3823.67,40,41,Online,
2024-02-05,Melbourne,Melbourne Central,Urban Waterproof Jacket,3105.9,26,21,In-store,
2024-02-05,Brisbane,Brisbane Queen St,Premium Storm Jacket,2609.33,29,25,walk in,
2024-02-05,Perth,Perth Murray St,Classic Rain Jacket,1501.22,17,16,In-store,
2024-02-06,Sydney,Sydney CBD,Lightweight Poncho,0.0,25,24,In-store,Revenue stored as text;
2024-02-06,Melbourne,Melbourne Central,Premium Storm Jacket,3091.03,19,18,In-store,
2024-02-06,Perth,Perth Murray St,Lightweight Poncho,3276.48,27,23,Online,
2024-02-07,Sydney,Sydney CBD,Lightweight Poncho,3961.81,39,32,walk in,
2024-02-07,Melbourne,Melbourne Central,Lightweight Poncho,2403.57,27,21,In-store,
2024-02-07,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,4256.48,21,17,walk in,
2024-02-07,Perth,Perth Murray St,Premium Storm Jacket,1830.47,13,12,In-store,
2024-02-08,Sydney,Sydney CBD,Premium Storm Jacket,2507.71,19,17,Online,
2024-02-08,Melbourne,Melbourne Central,Urban Waterproof Jacket,3595.68,27,22,walk in,
2024-02-08,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2243.15,13,11,walk in,
2024-02-08,Perth,Perth Murray St,Urban Waterproof Jacket,4462.19,40,41,Online,
2024-02-09,Sydney,Sydney CBD,Lightweight Poncho,4557.63,27,20,Online,
2024-02-09,Melbourne,Melbourne Central,Lightweight Poncho,5829.18,36,28,In-store,
2024-02-09,Brisbane,Brisbane Queen St,Premium Storm Jacket,829.45,8,6,In-store,
2024-02-09,Perth,Perth Murray St,Classic Rain Jacket,3652.86,19,15,walk in,
2024-02-10,Sydney,Sydney CBD,Classic Rain Jacket,377.98,4,3,In-store,
2024-02-10,Melbourne,Melbourne Central,Premium Storm Jacket,3186.81,34,34,In-store,
2024-02-10,Unknown,Brisbane Queen St,Urban Waterproof Jacket,2794.01,14,10,phone,Missing city;
2024-02-10,Perth,Perth Murray St,Urban Waterproof Jacket,1876.41,15,13,In-store,
2024-02-11,Sydney,Sydney CBD,Premium Storm Jacket,1682.13,18,13,In-store,
2024-02-11,Perth,Perth Murray St,Urban Waterproof Jacket,2873.23,19,18,walk in,
2024-02-12,Sydney,Sydney CBD,Lightweight Poncho,2454.42,28,23,In-store,
2024-02-12,Melbourne,Melbourne Central,Lightweight Poncho,1915.52,12,10,Online,
2024-02-12,Brisbane,Brisbane Queen St,Lightweight Poncho,2695.19,34,32,Online,
2024-02-12,Perth,Perth Murray St,Lightweight Poncho,399.02,3,2,walk in,
2024-02-13,Sydney,Sydney CBD,Lightweight Poncho,1998.48,21,20,phone,
2024-02-13,Melbourne,Melbourne Central,Urban Waterproof Jacket,3819.91,24,20,walk in,
2024-02-13,Brisbane,Brisbane Queen St,Classic Rain Jacket,3089.79,28,29,walk in,
2024-02-14,Sydney,Sydney CBD,Urban Waterproof Jacket,2351.58,18,13,In-store,
2024-02-14,Melbourne,Melbourne Central,Classic Rain Jacket,2527.74,26,19,Online,
2024-02-14,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,1293.26,14,13,Online,
2024-02-14,Perth,Perth Murray St,Lightweight Poncho,3916.1,28,22,Online,
2024-02-15,Unknown,Sydney CBD,Lightweight Poncho,0.0,26,23,In-store,City typo/inconsistent format; Revenue stored as text;
2024-02-15,Melbourne,Melbourne Central,Lightweight Poncho,2686.36,17,16,walk in,
2024-02-15,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2521.85,20,18,In-store,
2024-02-15,Perth,Perth Murray St,Classic Rain Jacket,800.24,10,7,In-store,
2024-02-16,Sydney,Sydney CBD,Classic Rain Jacket,2416.03,13,10,Online,
2024-02-16,Melbourne,Melbourne Central,Premium Storm Jacket,2301.03,28,21,Online,
2024-02-16,Brisbane,Brisbane Queen St,Lightweight Poncho,727.28,8,6,phone,
2024-02-16,Perth,Perth Murray St,Urban Waterproof Jacket,2394.0,28,25,Online,
2024-02-17,Sydney,Sydney CBD,Urban Waterproof Jacket,1717.7,17,14,In-store,
2024-02-17,Melbourne,Melbourne Central,Classic Rain Jacket,2991.58,27,20,Online,
2024-02-17,Brisbane,Brisbane Queen St,Classic Rain Jacket,0.0,0,0,Online,
2024-02-17,Perth,Perth Murray St,Classic Rain Jacket,3469.87,30,26,Online,
2024-02-18,Melbourne,Melbourne Central,Classic Rain Jacket,2087.01,27,21,In-store,
2024-02-18,Brisbane,Brisbane Queen St,Classic Rain Jacket,2295.76,23,22,walk in,
2024-02-18,Perth,Perth Murray St,Premium Storm Jacket,3556.05,32,25,In-store,
2024-02-19,Sydney,Sydney CBD,Lightweight Poncho,2482.94,15,14,walk in,City typo/inconsistent format;
2024-02-19,Melbourne,Melbourne Central,Classic Rain Jacket,4753.43,29,21,Online,
2024-02-19,Brisbane,Brisbane Queen St,Lightweight Poncho,1728.9,18,18,In-store,
2024-02-19,Perth,Perth Murray St,Urban Waterproof Jacket,3399.56,36,36,walk in,
2024-02-20,Sydney,Sydney CBD,Urban Waterproof Jacket,4053.78,32,24,In-store,
2024-02-20,Melbourne,Melbourne Central,Premium Storm Jacket,2311.87,27,27,In-store,
2024-02-20,Brisbane,Brisbane Queen St,Premium Storm Jacket,3304.99,17,17,Online,
2024-02-20,Perth,Perth Murray St,Classic Rain Jacket,1968.14,12,11,In-store,
2024-02-21,Sydney,Sydney CBD,Premium Storm Jacket,1922.79,21,15,phone,
2024-02-21,Melbourne,Melbourne Central,Classic Rain Jacket,2752.41,17,13,In-store,
2024-02-21,Brisbane,Brisbane Queen St,Lightweight Poncho,1947.49,23,17,Online,
2024-02-21,Perth,Perth Murray St,Lightweight Poncho,3436.62,18,15,In-store,
2024-02-22,Sydney,Sydney CBD,Lightweight Poncho,1566.55,18,16,In-store,
2024-02-22,Melbourne,Melbourne Central,Classic Rain Jacket,4646.67,35,30,In-store,
2024-02-22,Brisbane,Brisbane Queen St,Classic Rain Jacket,2213.02,22,21,walk in,
2024-02-22,Perth,Perth Murray St,Urban Waterproof Jacket,2559.54,14,13,Online,
2024-02-23,Sydney,Sydney CBD,Premium Storm Jacket,0.0,0,0,In-store,
2024-02-23,Melbourne,Melbourne Central,Lightweight Poncho,6794.43,35,32,Online,
2024-02-23,Brisbane,Brisbane Queen St,Classic Rain Jacket,4436.43,24,22,In-store,
2024-02-23,Perth,Perth Murray St,Premium Storm Jacket,1731.83,17,14,phone,
2024-02-24,Sydney,Sydney CBD,Premium Storm Jacket,1335.35,12,9,Online,
2024-02-24,Melbourne,Melbourne Central,Premium Storm Jacket,4457.43,29,26,Online,
2024-02-24,Brisbane,Brisbane Queen St,Lightweight Poncho,4596.11,30,24,In-store,
2024-02-24,Perth,Perth Murray St,Classic Rain Jacket,3104.43,16,12,walk in,
2024-02-25,Sydney,Sydney CBD,Lightweight Poncho,1843.02,15,11,In-store,
2024-02-25,Melbourne,Melbourne Central,Classic Rain Jacket,2364.66,15,14,phone,
2024-02-25,Brisbane,Brisbane Queen St,Classic Rain Jacket,970.87,9,7,In-store,
2024-02-25,Perth,Perth Murray St,Premium Storm Jacket,1302.62,9,7,In-store,
2024-02-26,Unknown,Sydney CBD,Urban Waterproof Jacket,3237.54,20,18,phone,
2024-02-26,Melbourne,Melbourne Central,Classic Rain Jacket,4532.57,28,28,walk in,
2024-02-26,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,347.69,3,2,In-store,
2024-02-26,Unknown,Perth Murray St,Premium Storm Jacket,1962.63,21,19,In-store,
2024-02-27,Sydney,Sydney-CBD,Lightweight Poncho,2117.16,13,0,phone,Orders stored as text; Missing customers;
2024-02-27,Melbourne,Melbourne Central,Lightweight Poncho,4720.47,28,24,walk in,
2024-02-27,Brisbane,Brisbane Queen St,Premium Storm Jacket,0.0,27,27,In-store,Revenue stored as text;
2024-02-27,Perth,Perth Murray St,Classic Rain Jacket,3660.31,40,36,phone,City typo/inconsistent format;
2024-02-28,Sydney,Sydney CBD,Urban Waterproof Jacket,2801.08,29,27,phone,
2024-02-28,Melbourne,Melbourne Central,Premium Storm Jacket,2618.27,29,24,Online,Orders stored as text;
2024-02-28,Brisbane,Brisbane Queen St,Lightweight Poncho,2483.06,20,19,walk in,
2024-02-28,Perth,Perth Murray St,Lightweight Poncho,1366.35,18,14,Online,
2024-02-29,Sydney,Sydney CBD,Premium Storm Jacket,2273.68,14,14,Online,
2024-02-29,Melbourne,Melbourne Central,Premium Storm Jacket,4682.88,29,23,In-store,
2024-02-29,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,3673.96,19,19,walk in,
2024-02-29,Perth,Perth Murray St,Urban Waterproof Jacket,0.0,20,19,In-store,Missing revenue;
2024-03-01,Sydney,Sydney CBD,Classic Rain Jacket,3938.62,24,20,walk in,
2024-03-01,Melbourne,Melbourne Central,Premium Storm Jacket,5222.94,36,27,phone,
2024-03-01,Perth,Perth Murray St,Premium Storm Jacket,4994.61,29,24,Online,
2024-03-02,Sydney,Sydney CBD,Classic Rain Jacket,3733.13,29,22,Online,
2024-03-02,Melbourne,Melbourne Central,Lightweight Poncho,2790.47,17,15,Online,
2024-03-02,Brisbane,Brisbane Queen St,Lightweight Poncho,1568.69,17,16,In-store,
2024-03-02,Perth,Perth Murray St,Lightweight Poncho,2883.72,32,29,In-store,
2024-03-03,Sydney,Sydney CBD,Classic Rain Jacket,3449.35,22,20,Online,Orders stored as text;
2024-03-03,Melbourne,Melbourne Cntrl,Urban Waterproof Jacket,4645.24,37,36,In-store,
2024-03-03,Brisbane,Brisbane Queen St,Premium Storm Jacket,2517.76,20,19,Online,
2024-03-03,Perth,Perth Murray St,Urban Waterproof Jacket,4227.54,33,31,In-store,
2024-03-04,Sydney,Sydney CBD,Lightweight Poncho,1867.52,21,19,walk in,
2024-03-04,Melbourne,Melbourne Central,Urban Waterproof Jacket,3380.43,35,32,Online,
2024-03-04,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,0.0,24,24,In-store,Missing revenue;
2024-03-04,Perth,Perth Murray St,Urban Waterproof Jacket,2836.45,33,27,phone,
2024-03-05,Sydney,Sydney CBD,Premium Storm Jacket,5785.06,32,33,In-store,
2024-03-05,Melbourne,Melbourne Central,Premium Storm Jacket,2375.95,28,21,walk in,
2024-03-05,Brisbane,Brisbane Queen St,Classic Rain Jacket,3964.14,26,24,phone,
2024-03-05,Perth,Perth Murray St,Lightweight Poncho,4575.17,28,24,In-store,
2024-03-06,Sydney,Syd CBD,Urban Waterproof Jacket,3986.18,23,17,Online,
2024-03-06,Melbourne,Melbourne Central,Classic Rain Jacket,2451.52,28,28,phone,
2024-03-06,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2706.27,26,22,Online,
2024-03-06,Perth,Perth Murray St,Premium Storm Jacket,2415.39,18,17,walk in,
2024-03-07,Sydney,Sydney CBD,Classic Rain Jacket,4383.46,28,21,Online,
2024-03-07,Melbourne,Melbourne Central,Lightweight Poncho,2221.34,20,19,Online,
2024-03-07,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,2077.37,19,17,In-store,
2024-03-07,Perth,Perth-Murray,Classic Rain Jacket,2118.8,26,26,In-store,
2024-03-08,Sydney,Sydney CBD,Premium Storm Jacket,2750.05,21,19,Online,
2024-03-08,Melbourne,Melbourne Central,Urban Waterproof Jacket,4741.24,40,34,Online,
2024-03-08,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,3298.44,26,21,Online,
2024-03-08,Perth,Perth Murray St,Lightweight Poncho,3680.84,23,17,In-store,
2024-03-09,Sydney,Sydney CBD,Premium Storm Jacket,2176.24,20,17,Online,
2024-03-09,Melbourne,Melbourne Central,Classic Rain Jacket,3181.44,24,19,Online,
2024-03-09,Brisbane,Brisbane Queen St,Premium Storm Jacket,6157.73,34,26,phone,
2024-03-09,Perth,Perth Murray St,Classic Rain Jacket,5194.11,33,32,Online,
2024-03-10,Sydney,Sydney CBD,Urban Waterproof Jacket,2199.17,19,15,walk in,
2024-03-10,Melbourne,Melbourne Central,Urban Waterproof Jacket,2664.07,28,25,walk in,
2024-03-10,Brisbane,Brisbane Queen St,Premium Storm Jacket,3892.21,30,27,In-store,
2024-03-10,Perth,Perth Murray St,Urban Waterproof Jacket,2389.69,26,21,In-store,
2024-03-11,Sydney,Sydney CBD,Classic Rain Jacket,7202.87,43,44,phone,
2024-03-11,Melbourne,Melbourne Central,Lightweight Poncho,4343.21,30,25,Online,
2024-03-11,Brisbane,Brisbane Queen St,Lightweight Poncho,3544.16,33,30,In-store,
2024-03-11,Perth,Perth Murray St,Urban Waterproof Jacket,7086.97,44,37,In-store,
2024-03-12,Sydney,Sydney CBD,Lightweight Poncho,4580.16,30,25,Online,
2024-03-12,Melbourne,Melbourne Central,Classic Rain Jacket,2078.38,21,17,In-store,
2024-03-12,Brisbane,Brisbane Queen St,Lightweight Poncho,4479.07,22,20,walk in,
2024-03-12,Perth,Perth Murray St,Premium Storm Jacket,1434.99,16,14,phone,
2024-03-13,Sydney,Sydney CBD,Premium Storm Jacket,3649.89,32,29,In-store,
2024-03-13,Melbourne,Melbourne Central,Premium Storm Jacket,4174.48,30,25,Online,
2024-03-13,Brisbane,Brisbane Queen St,Classic Rain Jacket,2996.74,31,30,walk in,
2024-03-13,Perth,Perth Murray St,Classic Rain Jacket,2816.33,26,20,walk in,
2024-03-14,Sydney,Sydney CBD,Lightweight Poncho,7668.96,41,33,walk in,
2024-03-14,Melbourne,Melbourne Central,Lightweight Poncho,1444.45,14,11,In-store,
2024-03-14,Brisbane,Brisbane Queen St,Classic Rain Jacket,2940.55,23,20,Online,
2024-03-14,Perth,Perth Murray St,Premium Storm Jacket,2214.57,22,17,phone,
2024-03-15,Sydney,Sydney CBD,Urban Waterproof Jacket,5126.64,26,20,In-store,
2024-03-15,Melbourne,Melbourne Central,Premium Storm Jacket,3252.01,21,19,phone,
2024-03-15,Brisbane,Brisbane Queen St,Classic Rain Jacket,2547.81,0,20,Online,Missing orders;
2024-03-15,Perth,Perth Murray St,Lightweight Poncho,5971.17,34,29,phone,
2024-03-16,Sydney,Sydney CBD,Classic Rain Jacket,1690.93,21,16,Online,
2024-03-16,Melbourne,Melbourne Central,Premium Storm Jacket,2950.96,28,23,In-store,
2024-03-16,Brisbane,Brisbane Queen St,Urban Waterproof Jacket,1655.31,20,20,walk in,
2024-03-16,Perth,Perth Murry St,Classic Rain Jacket,3238.72,40,35,phone,
2024-03-17,Sydney,Sydney CBD,Premium Storm Jacket,2826.41,25,19,In-store,City typo/inconsistent format;
2024-03-17,Melbourne,Melbourne Central,Classic Rain Jacket,2962.47,36,31,Online,
2024-03-17,Brisbane,Brisbane Queen St,Lightweight Poncho,2987.87,23,21,Online,
2024-03-17,Perth,Perth Murray St,Lightweight Poncho,3610.64,36,29,Online,
2024-03-18,Sydney,Sydney CBD,Premium Storm Jacket,4194.18,38,32,Online,
2024-03-18,Melbourne,Melbourne Central,Classic Rain Jacket,4503.65,29,24,In-store,
2024-03-18,Brisbane,Brisbane Queen St,Classic Rain Jacket,5474.5,33,29,phone,
